OTU_ID,Kingdom,Phylum,Class,Order,Family ,Genus,Species,Label
FOTU_4677,Fungi,Chytridiomycota,Spizellomycetes,Spizellomycetales,Spizellomycetaceae,Spizellomyces,Spizellomyces_punctatus,FOTU_4677_Spizellomyces_punctatus
FOTU_4682,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4682_unidentified
FOTU_4672,Fungi,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaetaceae,Coniochaeta,unidentified,FOTU_4672_Coniochaeta
FOTU_4683,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4683_unidentified
FOTU_4685,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4685_unidentified
FOTU_4652,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,unidentified,FOTU_4652_Sordariomycetes
FOTU_4680,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Gymnopilus,Gymnopilus_penetrans,FOTU_4680_Gymnopilus_penetrans
FOTU_4678,Fungi,Basidiomycota,Cystobasidiomycetes,Cystobasidiales,Cystobasidiaceae,Occultifur,unidentified,FOTU_4678_Occultifur
FOTU_4684,Fungi,unidentified,unidentified,unidentified,unidentified,unidentified,Fungi_sp,FOTU_4684_Fungi
FOTU_4686,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4686_unidentified
FOTU_4691,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota_sp,FOTU_4691_Ascomycota
FOTU_4699,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4699_unidentified
FOTU_4692,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4692_unidentified
FOTU_4688,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4688_unidentified
FOTU_4689,Fungi,Mucoromycota,Endogonomycetes,Endogonales,unidentified,unidentified,Endogonales_sp,FOTU_4689_Endogonales
FOTU_4698,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4698_unidentified
FOTU_4690,Fungi,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,Anthostoma,Anthostoma_turgidum,FOTU_4690_Anthostoma_turgidum
FOTU_4693,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lycoperdaceae,Lycoperdon,Lycoperdon_pratense,FOTU_4693_Lycoperdon_pratense
FOTU_4702,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Elaphomycetaceae,Elaphomyces,unidentified,FOTU_4702_Elaphomyces
FOTU_4695,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,unidentified,unidentified,Sebacinales_sp,FOTU_4695_Sebacinales
FOTU_4696,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,unidentified,FOTU_4696_unidentified
FOTU_4697,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,unidentified,FOTU_4697_Pleosporales
